Date;HomeTeam;AwayTeam;FullTimeHomeTeamGoals;FullTimeAwayTeamGoals;FullTimeResult;HalfTimeHomeTeamGoals;HalfTimeAwayTeamGoals;HalfTimeResult;HomeTeamShots;AwayTeamShots;HomeTeamShots;AwayTeamShots;HomeTeamFoulsCommitted;AwayTeamFoulsCommitted;HomeTeamCorners;AwayTeamCorners;HomeTeamYellowCards;AwayTeamYellowCards;HomeTeamRedCards;AwayTeamRedCards;;;;;;
12.03.1994;Hamburg;Leipzig;3;0;H;;;;;;;;;;;;;;;;;;;;;
12.03.1994;Kaiserslautern;Freiburg;1;0;H;;;;;;;;;;;;;;;;;;;;;
12.03.1994;M'Gladbach;Dresden;2;1;H;;;;;;;;;;;;;;;;;;;;;
12.03.1994;Nurnberg;Schalke 04;1;0;H;;;;;;;;;;;;;;;;;;;;;
12.03.1994;Wattenscheid;Bayern Munich;1;3;A;;;;;;;;;;;;;;;;;;;;;
12.03.1994;Werder Bremen;Karlsruhe;0;2;A;;;;;;;;;;;;;;;;;;;;;
19.03.1994;Bayern Munich;Dortmund;0;0;D;;;;;;;;;;;;;;;;;;;;;
19.03.1994;Dresden;Ein Frankfurt;0;4;A;;;;;;;;;;;;;;;;;;;;;
19.03.1994;Duisburg;Hamburg;0;1;A;;;;;;;;;;;;;;;;;;;;;
19.03.1994;Freiburg;Nurnberg;0;0;D;;;;;;;;;;;;;;;;;;;;;
19.03.1994;Leipzig;FC Koln;2;3;A;;;;;;;;;;;;;;;;;;;;;
19.03.1994;Leverkusen;Kaiserslautern;3;2;H;;;;;;;;;;;;;;;;;;;;;
19.03.1994;Schalke 04;Karlsruhe;2;0;H;;;;;;;;;;;;;;;;;;;;;
19.03.1994;Stuttgart;M'Gladbach;3;0;H;;;;;;;;;;;;;;;;;;;;;
19.03.1994;Wattenscheid;Werder Bremen;2;2;D;;;;;;;;;;;;;;;;;;;;;
26.03.1994;Dortmund;Wattenscheid;2;0;H;;;;;;;;;;;;;;;;;;;;;
26.03.1994;Ein Frankfurt;Stuttgart;0;0;D;;;;;;;;;;;;;;;;;;;;;
26.03.1994;FC Koln;Duisburg;1;0;H;;;;;;;;;;;;;;;;;;;;;
26.03.1994;Hamburg;Bayern Munich;1;2;A;;;;;;;;;;;;;;;;;;;;;
26.03.1994;Kaiserslautern;Dresden;0;0;D;;;;;;;;;;;;;;;;;;;;;
26.03.1994;Karlsruhe;Freiburg;2;1;H;;;;;;;;;;;;;;;;;;;;;
26.03.1994;M'Gladbach;Leipzig;6;1;H;;;;;;;;;;;;;;;;;;;;;
26.03.1994;Nurnberg;Leverkusen;2;3;A;;;;;;;;;;;;;;;;;;;;;
26.03.1994;Werder Bremen;Schalke 04;0;1;A;;;;;;;;;;;;;;;;;;;;;
02.04.1994;Bayern Munich;FC Koln;1;0;H;;;;;;;;;;;;;;;;;;;;;
02.04.1994;Dortmund;Werder Bremen;3;2;H;;;;;;;;;;;;;;;;;;;;;
02.04.1994;Dresden;Nurnberg;1;1;D;;;;;;;;;;;;;;;;;;;;;
02.04.1994;Duisburg;M'Gladbach;2;0;H;;;;;;;;;;;;;;;;;;;;;
02.04.1994;Freiburg;Schalke 04;2;3;A;;;;;;;;;;;;;;;;;;;;;
02.04.1994;Leipzig;Ein Frankfurt;1;0;H;;;;;;;;;;;;;;;;;;;;;
02.04.1994;Leverkusen;Karlsruhe;3;1;H;;;;;;;;;;;;;;;;;;;;;
02.04.1994;Stuttgart;Kaiserslautern;1;1;D;;;;;;;;;;;;;;;;;;;;;
02.04.1994;Wattenscheid;Hamburg;3;1;H;;;;;;;;;;;;;;;;;;;;;
03.04.1994;Bayern Munich;Nurnberg;5;0;H;;;;;;;;;;;;;;;;;;;;;
06.04.1994;Ein Frankfurt;Duisburg;1;2;A;;;;;;;;;;;;;;;;;;;;;
06.04.1994;FC Koln;Wattenscheid;3;2;H;;;;;;;;;;;;;;;;;;;;;
06.04.1994;Hamburg;Dortmund;0;0;D;;;;;;;;;;;;;;;;;;;;;
06.04.1994;Kaiserslautern;Leipzig;1;0;H;;;;;;;;;;;;;;;;;;;;;
06.04.1994;Karlsruhe;Dresden;1;0;H;;;;;;;;;;;;;;;;;;;;;
06.04.1994;M'Gladbach;Bayern Munich;2;0;H;;;;;;;;;;;;;;;;;;;;;
06.04.1994;Nurnberg;Stuttgart;1;0;H;;;;;;;;;;;;;;;;;;;;;
06.04.1994;Schalke 04;Leverkusen;1;1;D;;;;;;;;;;;;;;;;;;;;;
06.04.1994;Werder Bremen;Freiburg;3;2;H;;;;;;;;;;;;;;;;;;;;;
09.04.1994;Bayern Munich;Ein Frankfurt;2;1;H;;;;;;;;;;;;;;;;;;;;;
09.04.1994;Dortmund;FC Koln;2;1;H;;;;;;;;;;;;;;;;;;;;;
09.04.1994;Dresden;Schalke 04;1;0;H;;;;;;;;;;;;;;;;;;;;;
09.04.1994;Duisburg;Kaiserslautern;1;7;A;;;;;;;;;;;;;;;;;;;;;
